 #---------------------------------------------------------------------------
 #   gamma p --> pi0 p                     Oct2014
 #
 #        Q - polar angle of pi0 meson in CMS
 #        err2 = sqrt(stat**2 + (0.04*ds/dOmega)**2)
 #---------------------------------------------------------------------------
 # Eg[MeV]  Eg_min   Eg_max   W[GeV]  cos(Q)    Q    ds/dOmega  stat.  err2
 #                                            [deg]   [µb/sr]   err.   
 #--------------------------------------------------------------------------
  1473.19  1469.97  1476.41  1.90915   0.633   50.70  0.7098  0.0094  0.0129
  1473.19  1469.97  1476.41  1.90915   0.700   45.57  1.0934  0.0142  0.0197
  1473.19  1469.97  1476.41  1.90915   0.767   39.94  1.5588  0.0233  0.0304
  1473.19  1469.97  1476.41  1.90915   0.833   33.56  1.9857  0.0626  0.0673
  1479.64  1476.41  1482.88  1.91232  -0.833  146.44  1.3438  0.0505  0.0532
  1479.64  1476.41  1482.88  1.91232  -0.767  140.06  1.1603  0.0271  0.0307
  1479.64  1476.41  1482.88  1.91232  -0.700  134.43  0.9024  0.0145  0.0184
  1479.64  1476.41  1482.88  1.91232  -0.633  129.30  0.7150  0.0096  0.0131
  1479.64  1476.41  1482.88  1.91232  -0.567  124.52  0.6221  0.0075  0.0108
  1479.64  1476.41  1482.88  1.91232  -0.500  120.00  0.5906  0.0067  0.0100
  1479.64  1476.41  1482.88  1.91232  -0.433  115.68  0.5922  0.0064  0.0098
  1479.64  1476.41  1482.88  1.91232  -0.367  111.51  0.6271  0.0062  0.0100
  1479.64  1476.41  1482.88  1.91232  -0.300  107.46  0.7132  0.0064  0.0110
  1479.64  1476.41  1482.88  1.91232  -0.233  103.49  0.7903  0.0066  0.0119
  1479.64  1476.41  1482.88  1.91232  -0.167   99.59  0.8650  0.0070  0.0129
  1479.64  1476.41  1482.88  1.91232  -0.100   95.74  0.9174  0.0073  0.0136
  1479.64  1476.41  1482.88  1.91232  -0.033   91.91  0.9685  0.0078  0.0144
  1479.64  1476.41  1482.88  1.91232   0.033   88.09  0.9324  0.0078  0.0140
  1479.64  1476.41  1482.88  1.91232   0.100   84.26  0.8786  0.0075  0.0133
  1479.64  1476.41  1482.88  1.91232   0.167   80.41  0.8023  0.0071  0.0123
  1479.64  1476.41  1482.88  1.91232   0.233   76.51  0.6623  0.0065  0.0105
  1479.64  1476.41  1482.88  1.91232   0.300   72.54  0.5394  0.0058  0.0089
