 #---------------------------------------------------------------------------
 #   gamma p --> pi0 p                     Apr2013
 #
 #        Q - polar angle of pi0 meson in CMS
 #        err2 = sqrt(stat**2 + (0.02*ds/dOmega)**2)
 #---------------------------------------------------------------------------
 # Eg[MeV]  Eg_min   Eg_max   W[GeV]  cos(Q)    Q    ds/dOmega  stat.  err2
 #                                            [deg]   [µb/sr]   err.
 #--------------------------------------------------------------------------
   239.91   237.76   242.07  1.15350  -0.233  103.49  7.2670  0.0309  0.1486
   239.91   237.76   242.07  1.15350  -0.167   99.59  7.2646  0.0306  0.1485
   239.91   237.76   242.07  1.15350  -0.100   95.74  7.3763  0.0308  0.1507
   239.91   237.76   242.07  1.15350  -0.033   91.91  7.3088  0.0305  0.1493
   239.91   237.76   242.07  1.15350   0.033   88.09  7.2668  0.0302  0.1484
   239.91   237.76   242.07  1.15350   0.100   84.26  7.1377  0.0298  0.1458
   239.91   237.76   242.07  1.15350   0.167   80.41  7.0521  0.0296  0.1441
   239.91   237.76   242.07  1.15350   0.233   76.51  6.9698  0.0295  0.1425
   239.91   237.76   242.07  1.15350   0.300   72.54  6.7707  0.0291  0.1385
   239.91   237.76   242.07  1.15350   0.367   68.49  6.5348  0.0288  0.1338
   239.91   237.76   242.07  1.15350   0.433   64.32  6.3648  0.0288  0.1305
   239.91   237.76   242.07  1.15350   0.500   60.00  5.9942  0.0284  0.1232
   239.91   237.76   242.07  1.15350   0.567   55.48  5.6791  0.0284  0.1171
   239.91   237.76   242.07  1.15350   0.633   50.70  5.3233  0.0285  0.1102
   239.91   237.76   242.07  1.15350   0.700   45.57  4.9885  0.0289  0.1039
   239.91   237.76   242.07  1.15350   0.767   39.94  4.4669  0.0295  0.0941
   239.91   237.76   242.07  1.15350   0.833   33.56  4.0380  0.0308  0.0864
   239.91   237.76   242.07  1.15350   0.900   25.84  3.4042  0.0333  0.0758
   239.91   237.76   242.07  1.15350   0.967   14.84  2.8882  0.0404  0.0705
   244.23   242.07   246.39  1.15701  -0.967  165.16  4.9127  0.0286  0.1023
   244.23   242.07   246.39  1.15701  -0.900  154.16  5.4247  0.0286  0.1122
   244.23   242.07   246.39  1.15701  -0.833  146.44  5.8785  0.0288  0.1210
   244.23   242.07   246.39  1.15701  -0.767  140.06  6.3202  0.0294  0.1298
   244.23   242.07   246.39  1.15701  -0.700  134.43  6.7003  0.0298  0.1373
   244.23   242.07   246.39  1.15701  -0.633  129.30  7.0507  0.0303  0.1442
   244.23   242.07   246.39  1.15701  -0.567  124.52  7.3205  0.0307  0.1496
   244.23   242.07   246.39  1.15701  -0.500  120.00  7.5570  0.0308  0.1542
   244.23   242.07   246.39  1.15701  -0.433  115.68  7.7451  0.0309  0.1580
   244.23   242.07   246.39  1.15701  -0.367  111.51  7.9321  0.0311  0.1617
   244.23   242.07   246.39  1.15701  -0.300  107.46  8.0260  0.0310  0.1635
   244.23   242.07   246.39  1.15701  -0.233  103.49  8.1211  0.0309  0.1653
   244.23   242.07   246.39  1.15701  -0.167   99.59  8.1191  0.0305  0.1652
   244.23   242.07   246.39  1.15701  -0.100   95.74  8.2514  0.0307  0.1679
   244.23   242.07   246.39  1.15701  -0.033   91.91  8.1732  0.0304  0.1663
   244.23   242.07   246.39  1.15701   0.033   88.09  8.1635  0.0302  0.1660
   244.23   242.07   246.39  1.15701   0.100   84.26  8.0533  0.0297  0.1638
   244.23   242.07   246.39  1.15701   0.167   80.41  7.9131  0.0295  0.1610
   244.23   242.07   246.39  1.15701   0.233   76.51  7.8064  0.0292  0.1588
   244.23   242.07   246.39  1.15701   0.300   72.54  7.6170  0.0289  0.1551
   244.23   242.07   246.39  1.15701   0.367   68.49  7.3794  0.0285  0.1503
   244.23   242.07   246.39  1.15701   0.433   64.32  7.1317  0.0284  0.1454
   244.23   242.07   246.39  1.15701   0.500   60.00  6.7897  0.0280  0.1387
   244.23   242.07   246.39  1.15701   0.567   55.48  6.3998  0.0278  0.1310
   244.23   242.07   246.39  1.15701   0.633   50.70  6.0370  0.0278  0.1239
   244.23   242.07   246.39  1.15701   0.700   45.57  5.6159  0.0280  0.1158
   244.23   242.07   246.39  1.15701   0.767   39.94  5.0651  0.0284  0.1052
   244.23   242.07   246.39  1.15701   0.833   33.56  4.4544  0.0293  0.0938
   244.23   242.07   246.39  1.15701   0.900   25.84  3.9290  0.0319  0.0848
   244.23   242.07   246.39  1.15701   0.967   14.84  3.2320  0.0383  0.0751
   248.55   246.39   250.71  1.16050  -0.967  165.16  5.3767  0.0292  0.1114
   248.55   246.39   250.71  1.16050  -0.900  154.16  5.9608  0.0292  0.1227
   248.55   246.39   250.71  1.16050  -0.833  146.44  6.5040  0.0295  0.1334
   248.55   246.39   250.71  1.16050  -0.767  140.06  6.9416  0.0299  0.1420
   248.55   246.39   250.71  1.16050  -0.700  134.43  7.3427  0.0302  0.1499
   248.55   246.39   250.71  1.16050  -0.633  129.30  7.7691  0.0308  0.1584
   248.55   246.39   250.71  1.16050  -0.567  124.52  8.0585  0.0311  0.1641
   248.55   246.39   250.71  1.16050  -0.500  120.00  8.3128  0.0313  0.1692
   248.55   246.39   250.71  1.16050  -0.433  115.68  8.5632  0.0315  0.1741
   248.55   246.39   250.71  1.16050  -0.367  111.51  8.7302  0.0316  0.1774
   248.55   246.39   250.71  1.16050  -0.300  107.46  8.9043  0.0316  0.1809
   248.55   246.39   250.71  1.16050  -0.233  103.49  9.0065  0.0315  0.1829
   248.55   246.39   250.71  1.16050  -0.167   99.59  9.0816  0.0314  0.1843
   248.55   246.39   250.71  1.16050  -0.100   95.74  9.1322  0.0313  0.1853
   248.55   246.39   250.71  1.16050  -0.033   91.91  9.1321  0.0312  0.1853
   248.55   246.39   250.71  1.16050   0.033   88.09  9.0482  0.0308  0.1836
   248.55   246.39   250.71  1.16050   0.100   84.26  8.8723  0.0303  0.1800
   248.55   246.39   250.71  1.16050   0.167   80.41  8.8531  0.0302  0.1796
   248.55   246.39   250.71  1.16050   0.233   76.51  8.6818  0.0299  0.1762
   248.55   246.39   250.71  1.16050   0.300   72.54  8.4702  0.0296  0.1720
   248.55   246.39   250.71  1.16050   0.367   68.49  8.2231  0.0292  0.1670
   248.55   246.39   250.71  1.16050   0.433   64.32  7.9324  0.0289  0.1613
   248.55   246.39   250.71  1.16050   0.500   60.00  7.5913  0.0286  0.1545
   248.55   246.39   250.71  1.16050   0.567   55.48  7.1611  0.0284  0.1460
   248.55   246.39   250.71  1.16050   0.633   50.70  6.7394  0.0284  0.1377
   248.55   246.39   250.71  1.16050   0.700   45.57  6.2272  0.0285  0.1278
   248.55   246.39   250.71  1.16050   0.767   39.94  5.6796  0.0290  0.1172
   248.55   246.39   250.71  1.16050   0.833   33.56  5.0566  0.0303  0.1056
   248.55   246.39   250.71  1.16050   0.900   25.84  4.4377  0.0332  0.0948
   248.55   246.39   250.71  1.16050   0.967   14.84  3.6988  0.0410  0.0846
   252.87   250.71   255.03  1.16399  -0.967  165.16  5.8176  0.0303  0.1202
   252.87   250.71   255.03  1.16399  -0.900  154.16  6.5388  0.0305  0.1343
   252.87   250.71   255.03  1.16399  -0.833  146.44  7.1696  0.0309  0.1467
   252.87   250.71   255.03  1.16399  -0.767  140.06  7.6589  0.0313  0.1563
   252.87   250.71   255.03  1.16399  -0.700  134.43  8.1500  0.0318  0.1661
   252.87   250.71   255.03  1.16399  -0.633  129.30  8.5760  0.0324  0.1746
   252.87   250.71   255.03  1.16399  -0.567  124.52  8.9527  0.0328  0.1820
   252.87   250.71   255.03  1.16399  -0.500  120.00  9.2802  0.0331  0.1885
   252.87   250.71   255.03  1.16399  -0.433  115.68  9.5056  0.0333  0.1930
   252.87   250.71   255.03  1.16399  -0.367  111.51  9.7938  0.0336  0.1987
   252.87   250.71   255.03  1.16399  -0.300  107.46  9.9977  0.0337  0.2028
   252.87   250.71   255.03  1.16399  -0.233  103.49 10.0839  0.0335  0.2044
   252.87   250.71   255.03  1.16399  -0.167   99.59 10.1803  0.0334  0.2063
   252.87   250.71   255.03  1.16399  -0.100   95.74 10.2182  0.0333  0.2071
   252.87   250.71   255.03  1.16399  -0.033   91.91 10.2087  0.0331  0.2068
   252.87   250.71   255.03  1.16399   0.033   88.09 10.0833  0.0326  0.2043
   252.87   250.71   255.03  1.16399   0.100   84.26  9.9719  0.0322  0.2020
   252.87   250.71   255.03  1.16399   0.167   80.41  9.9020  0.0321  0.2006
   252.87   250.71   255.03  1.16399   0.233   76.51  9.7381  0.0317  0.1973
   252.87   250.71   255.03  1.16399   0.300   72.54  9.5147  0.0314  0.1929
   252.87   250.71   255.03  1.16399   0.367   68.49  9.2815  0.0311  0.1882
   252.87   250.71   255.03  1.16399   0.433   64.32  8.8666  0.0305  0.1799
   252.87   250.71   255.03  1.16399   0.500   60.00  8.5320  0.0302  0.1733
