E =  218.370 MeV, E_lo =  216.220 MeV, E_hi =  220.520 MeV
Systematic = 0.020, Preliminary = 0, CBMAMI_2015_Prakhov
 80.410    24.057200     0.067400     0.481102
 76.510    23.673300     0.066600     0.473439
 72.540    23.263100     0.065900     0.465256
 68.490    22.564100     0.064600     0.451300
 64.320    21.789000     0.063200     0.435741
 60.000    20.968500     0.062000     0.419341
 55.480    19.914100     0.060500     0.398332
 50.700    18.740800     0.059500     0.374807
 45.570    17.125000     0.057700     0.342473
 39.940    15.549700     0.057300     0.310965
 33.560    13.890500     0.058500     0.277807
 25.840    12.011700     0.062000     0.240228
 14.840     9.808500     0.076100     0.196155
-----------------------------------------------------------
E =  296.220 MeV, E_lo =  294.040 MeV, E_hi =  298.390 MeV
Systematic = 0.020, Preliminary = 0, CBMAMI_2015_Prakhov
165.160    11.106000     0.051800     0.222140
154.160    13.213700     0.054300     0.264279
146.440    15.010600     0.056500     0.300230
140.060    16.629800     0.058900     0.332625
134.430    18.040200     0.061000     0.360779
129.300    19.618600     0.063700     0.392363
124.520    21.029100     0.066000     0.420553
120.000    22.254400     0.067900     0.445050
115.680    23.243700     0.069500     0.464833
111.510    24.043700     0.070600     0.480845
107.460    24.651800     0.071500     0.493043
103.490    25.195000     0.072200     0.503853
 99.590    25.592500     0.072400     0.511805
 95.740    26.004100     0.073000     0.520102
 91.910    26.174300     0.072800     0.523462
 88.090    25.980700     0.071700     0.519576
 84.260    26.024400     0.071700     0.520485
 80.410    25.702800     0.070700     0.514061
 76.510    25.194300     0.069600     0.503916
 72.540    24.736500     0.068800     0.494739
 68.490    24.178100     0.067900     0.483556
 64.320    23.321800     0.066200     0.466426
 60.000    22.395900     0.064900     0.447923
 55.480    21.319100     0.063300     0.426427
 50.700    20.068100     0.062000     0.401339
 45.570    18.458200     0.060400     0.369192
 39.940    16.743400     0.059800     0.334903
 33.560    14.973300     0.060800     0.299491
 25.840    12.925500     0.064100     0.258470
 14.840    10.503800     0.078400     0.210045
-----------------------------------------------------------
E =  300.560 MeV, E_lo =  298.390 MeV, E_hi =  302.740 MeV
Systematic = 0.020, Preliminary = 0, CBMAMI_2015_Prakhov
165.160    11.350000     0.053000     0.226995
154.160    13.611300     0.055600     0.272179
146.440    15.625700     0.058200     0.312527
140.060    17.281200     0.060500     0.345645
134.430    18.782700     0.062600     0.375619
129.300    20.571700     0.065600     0.411403
124.520    22.018900     0.067800     0.440412
120.000    23.392900     0.070000     0.467893
115.680    24.423600     0.071500     0.488495
111.510    25.408200     0.073000     0.508184
107.460    26.072800     0.073800     0.521504
103.490    26.630500     0.074500     0.532615
 99.590    26.972200     0.074600     0.539466
 95.740    27.320300     0.074900     0.546390
 91.910    27.609600     0.075100     0.552217
 88.090    27.413300     0.074000     0.548228
 84.260    27.431500     0.073900     0.548645
 80.410    27.130700     0.073000     0.542612
 76.510    26.728000     0.072100     0.534560
 72.540    26.177100     0.071100     0.523494
 68.490    25.429500     0.069900     0.508619
 64.320    24.595500     0.068500     0.491954
 60.000    23.670000     0.067100     0.473368
